CUSTOMERNAME,CUSTOMER_ID,CONTACTFIRSTNAME,CONTACTLASTNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY
Souveniers And Things Co.,1573,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Cruz & Sons Co.,1574,Arnold,Cruz,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines
Marseille Mini Autos,1575,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Mini Gifts Distributors Ltd.,1576,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Collectables For Less Inc.,1577,Allen,Nelson,6175558555,7825 Douglas Av.,Brickhaven,58339,USA
Mini Auto Werke,1578,Roland,Mendel,7675-3555,Kirchgasse 6,Graz,8010,Austria
Herkku Gifts,1579,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Online Diecast Creations Co.,1580,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
Euro Shopping Channel,1581,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Euro Shopping Channel,1582,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Vida Sport, Ltd",1583,Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
"Oulu Toy Supplies, Inc.",1584,Pirkko,Koskitalo,981-443655,Torikatu 38,Oulu,90110,Finland
"UK Collectables, Ltd.",1585,Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK
L'ordine Souveniers,1586,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Signal Gift Stores,1587,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
"Vida Sport, Ltd",1588,Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
"Blauer See Auto, Co.",1589,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
"Toms Spezialitten, Ltd",1590,Henriette,Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
FunGiftIdeas.com,1591,Violeta,Benitez,5085552555,1785 First Street,New Bedford,50553,USA
Land of Toys Inc.,1592,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Australian Collectors, Co.",1593,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Suominen Souveniers,1594,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
"Toys of Finland, Co.",1595,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
Scandinavian Gift Ideas,1596,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Mini Caravy,1597,Frederique,Citeaux,88.60.1555,"24, place Kluber",Strasbourg,67000,France
Salzburg Collectables,1598,Georg,Pipps,6562-9555,Geislweg 14,Salzburg,5020,Austria
Motor Mint Distributors Inc.,1599,Rosa,Hernandez,2155559857,11328 Douglas Av.,Philadelphia,71270,USA
Marseille Mini Autos,1600,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Alpha Cognac,1601,Annette,Roulet,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France
"Anna's Decorations, Ltd",1602,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Heintze Collectables,1603,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Quebec Home Shopping Network,1604,Jean,Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada
Herkku Gifts,1605,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Online Diecast Creations Co.,1606,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
Muscle Machine Inc,1607,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,1608,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Collectable Mini Designs Co.,1609,Valarie,Thompson,7605558146,361 Furth Circle,San Diego,91217,USA
Osaka Souveniers Co.,1610,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
"UK Collectables, Ltd.",1611,Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK
L'ordine Souveniers,1612,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Signal Gift Stores,1613,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
"Vida Sport, Ltd",1614,Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
"Norway Gifts By Mail, Co.",1615,Jan,Klaeboe,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway
"Toms Spezialitten, Ltd",1616,Henriette,Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
FunGiftIdeas.com,1617,Violeta,Benitez,5085552555,1785 First Street,New Bedford,50553,USA
Motor Mint Distributors Inc.,1618,Rosa,Hernandez,2155559857,11328 Douglas Av.,Philadelphia,71270,USA
"Australian Collectors, Co.",1619,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Lyon Souveniers,1620,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Royale Belge,1621,Pascale,Cartrain,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium
"Toys of Finland, Co.",1622,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
Mini Gifts Distributors Ltd.,1623,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Danish Wholesale Imports,1624,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
Salzburg Collectables,1625,Georg,Pipps,6562-9555,Geislweg 14,Salzburg,5020,Austria
Euro Shopping Channel,1626,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Classic Legends Inc.,1627,Maria,Hernandez,2125558493,5905 Pompton St.,NYC,10022,USA
Muscle Machine Inc,1628,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Suominen Souveniers,1629,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
"Oulu Toy Supplies, Inc.",1630,Pirkko,Koskitalo,981-443655,Torikatu 38,Oulu,90110,Finland
"Dragon Souveniers, Ltd.",1631,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
L'ordine Souveniers,1632,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
"Iberia Gift Imports, Corp.",1633,Jose Pedro,Roel,(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain
Mini Classics,1634,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Collectables,1635,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,51003,USA
Signal Collectibles Ltd.,1636,Sue,Taylor,4155554312,2793 Furth Circle,Brisbane,94217,USA
"Blauer See Auto, Co.",1637,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
Euro Shopping Channel,1638,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Handji Gifts& Co,1639,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Mini Gifts Distributors Ltd.,1640,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Mini Gifts Distributors Ltd.,1641,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Land of Toys Inc.,1642,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Marta's Replicas Co.,1643,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
Heintze Collectables,1644,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Vitachrome Inc.,1645,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,10022,USA
"La Corne D'abondance, Co.",1646,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
Muscle Machine Inc,1647,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,1648,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Mini Gifts Distributors Ltd.,1649,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Mini Gifts Distributors Ltd.,1650,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Euro Shopping Channel,1651,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
La Rochelle Gifts,1652,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Online Diecast Creations Co.,1653,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
"AV Stores, Co.",1654,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Signal Gift Stores,1655,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
Signal Collectibles Ltd.,1656,Sue,Taylor,4155554312,2793 Furth Circle,Brisbane,94217,USA
Rovelli Gifts,1657,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
Mini Gifts Distributors Ltd.,1658,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Australian Collectables, Ltd",1659,Sean,Connery,61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia
Muscle Machine Inc,1660,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
"Corrida Auto Replicas, Ltd",1661,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
"Saveley & Henriot, Co.",1662,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Mini Caravy,1663,Frederique,Citeaux,88.60.1555,"24, place Kluber",Strasbourg,67000,France
Amica Models & Co.,1664,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
Handji Gifts& Co,1665,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
"Iberia Gift Imports, Corp.",1666,Jose Pedro,Roel,(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain
Mini Gifts Distributors Ltd.,1667,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"AV Stores, Co.",1668,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Marseille Mini Autos,1669,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Toys4GrownUps.com,1670,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Euro Shopping Channel,1671,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
The Sharp Gifts Warehouse,1672,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Souveniers And Things Co.,1673,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Euro Shopping Channel,1674,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"La Corne D'abondance, Co.",1675,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
Muscle Machine Inc,1676,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Suominen Souveniers,1677,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
"Oulu Toy Supplies, Inc.",1678,Pirkko,Koskitalo,981-443655,Torikatu 38,Oulu,90110,Finland
"Dragon Souveniers, Ltd.",1679,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
"Stylish Desk Decors, Co.",1680,Ann,Brown,(171) 555-0297,35 King George,London,WX3 6FW,UK
"Iberia Gift Imports, Corp.",1681,Jose Pedro,Roel,(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain
Mini Classics,1682,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Collectables,1683,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,51003,USA
Mini Gifts Distributors Ltd.,1684,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Euro Shopping Channel,1685,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Handji Gifts& Co,1686,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Mini Gifts Distributors Ltd.,1687,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Diecast Classics Inc.,1688,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Land of Toys Inc.,1689,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Marta's Replicas Co.,1690,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
Canadian Gift Exchange Network,1691,Yoshi,Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada
Vitachrome Inc.,1692,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,10022,USA
"Volvo Model Replicas, Co",1693,Christina,Berglund,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
Muscle Machine Inc,1694,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,1695,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Anna's Decorations, Ltd",1696,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Euro Shopping Channel,1697,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Euro Shopping Channel,1698,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
La Rochelle Gifts,1699,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
"Blauer See Auto, Co.",1700,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
"AV Stores, Co.",1701,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Signal Gift Stores,1702,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
Signal Collectibles Ltd.,1703,Sue,Taylor,4155554312,2793 Furth Circle,Brisbane,94217,USA
Rovelli Gifts,1704,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
Mini Gifts Distributors Ltd.,1705,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Australian Collectables, Ltd",1706,Sean,Connery,61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia
Muscle Machine Inc,1707,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
"Corrida Auto Replicas, Ltd",1708,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
"Saveley & Henriot, Co.",1709,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Diecast Collectables,1710,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,51003,USA
Amica Models & Co.,1711,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
Handji Gifts& Co,1712,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Auto Assoc. & Cie.,1713,Daniel,Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France
Mini Gifts Distributors Ltd.,1714,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Online Diecast Creations Co.,1715,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
"AV Stores, Co.",1716,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Marseille Mini Autos,1717,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Lyon Souveniers,1718,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,1719,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Euro Shopping Channel,1720,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Mini Gifts Distributors Ltd.,1721,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Handji Gifts& Co,1722,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Souveniers And Things Co.,1723,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Baane Mini Imports,1724,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
"La Corne D'abondance, Co.",1725,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
"Corrida Auto Replicas, Ltd",1726,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
Technics Stores Inc.,1727,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
"Oulu Toy Supplies, Inc.",1728,Pirkko,Koskitalo,981-443655,Torikatu 38,Oulu,90110,Finland
"Dragon Souveniers, Ltd.",1729,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
"Stylish Desk Decors, Co.",1730,Ann,Brown,(171) 555-0297,35 King George,London,WX3 6FW,UK
"Iberia Gift Imports, Corp.",1731,Jose Pedro,Roel,(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain
"Saveley & Henriot, Co.",1732,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Diecast Collectables,1733,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,51003,USA
Handji Gifts& Co,1734,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Mini Gifts Distributors Ltd.,1735,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Euro Shopping Channel,1736,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Handji Gifts& Co,1737,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Mini Gifts Distributors Ltd.,1738,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Diecast Classics Inc.,1739,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Scandinavian Gift Ideas,1740,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Marta's Replicas Co.,1741,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
Canadian Gift Exchange Network,1742,Yoshi,Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada
Online Diecast Creations Co.,1743,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
"Volvo Model Replicas, Co",1744,Christina,Berglund,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
"Australian Collectors, Co.",1745,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Mini Gifts Distributors Ltd.,1746,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Anna's Decorations, Ltd",1747,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
"Anna's Decorations, Ltd",1748,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Euro Shopping Channel,1749,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
La Rochelle Gifts,1750,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Rovelli Gifts,1751,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
"Australian Collectors, Co.",1752,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Euro Shopping Channel,1753,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Toys4GrownUps.com,1754,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Technics Stores Inc.,1755,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Osaka Souveniers Co.,1756,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
"Australian Collectors, Co.",1757,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
"Royal Canadian Collectables, Ltd.",1758,Elizabeth,Lincoln,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
The Sharp Gifts Warehouse,1759,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Gift Depot Inc.,1760,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
La Rochelle Gifts,1761,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
"Norway Gifts By Mail, Co.",1762,Jan,Klaeboe,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway
"Clover Collections, Co.",1763,Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
Mini Classics,1764,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Classics Inc.,1765,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Danish Wholesale Imports,1766,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
"Tokyo Collectables, Ltd",1767,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Gift Ideas Corp.,1768,Dan,Lewis,2035554407,2440 Pompton St.,Glendale,97561,USA
"Australian Gift Network, Co",1769,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
Euro Shopping Channel,1770,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Reims Collectables,1771,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
Tekni Collectables Inc.,1772,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
L'ordine Souveniers,1773,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Land of Toys Inc.,1774,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Australian Collectors, Co.",1775,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Lyon Souveniers,1776,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,1777,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Technics Stores Inc.,1778,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Daedalus Designs Imports,1779,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Herkku Gifts,1780,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Osaka Souveniers Co.,1781,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
"Australian Collectors, Co.",1782,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Motor Mint Distributors Inc.,1783,Rosa,Hernandez,2155559857,11328 Douglas Av.,Philadelphia,71270,USA
Tekni Collectables Inc.,1784,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
Gift Depot Inc.,1785,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
La Rochelle Gifts,1786,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Marta's Replicas Co.,1787,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
Atelier graphique,1788,Carine,Schmitt,40.32.2555,"54, rue Royale",Nantes,44000,France
Mini Classics,1789,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Classics Inc.,1790,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Land of Toys Inc.,1791,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Tokyo Collectables, Ltd",1792,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Technics Stores Inc.,1793,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
"Australian Gift Network, Co",1794,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
Scandinavian Gift Ideas,1795,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Auto Canal Petit,1796,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
Euro Shopping Channel,1797,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Blauer See Auto, Co.",1798,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
"AV Stores, Co.",1799,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
"Australian Collectors, Co.",1800,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Souveniers And Things Co.,1801,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Signal Collectibles Ltd.,1802,Sue,Taylor,4155554312,2793 Furth Circle,Brisbane,94217,USA
Rovelli Gifts,1803,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
Mini Gifts Distributors Ltd.,1804,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Australian Collectables, Ltd",1805,Sean,Connery,61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia
Euro Shopping Channel,1806,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Corrida Auto Replicas, Ltd",1807,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
"Saveley & Henriot, Co.",1808,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Euro Shopping Channel,1809,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Mini Caravy,1810,Frederique,Citeaux,88.60.1555,"24, place Kluber",Strasbourg,67000,France
Amica Models & Co.,1811,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
Herkku Gifts,1812,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Auto Assoc. & Cie.,1813,Daniel,Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France
Mini Gifts Distributors Ltd.,1814,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
